time,open,high,low,close
2024-08-23 15:00:00-03:00,87391.71,88735.6,87274.17,88735.6
2024-08-23 15:30:00-03:00,88735.6,89211.71,88717.9,89211.71
2024-08-23 16:00:00-03:00,89211.71,89462.3,88902.9,88902.9
2024-08-23 16:30:00-03:00,88902.9,88966.07,88673.79,88758.03
2024-08-23 17:00:00-03:00,88758.03,89425.73,88758.03,89425.73
2024-08-23 17:30:00-03:00,89425.73,89839.59,89404.39,89839.59
2024-08-23 18:00:00-03:00,89839.59,90065.89,88008.3,88036.21
2024-08-23 18:30:00-03:00,88036.21,88186.42,87703.54,87744.32
2024-08-23 19:00:00-03:00,87744.32,87865.91,87458.19,87567.21
2024-08-23 19:30:00-03:00,87567.21,87606.04,87048.94,87116.33
2024-08-23 20:00:00-03:00,87116.33,87116.69,86911.86,86911.86
2024-08-23 20:30:00-03:00,86911.86,86911.86,86474.24,86681.74
2024-08-23 21:00:00-03:00,86681.74,86681.74,86519.76,86662.93
2024-08-23 21:30:00-03:00,86662.93,86689.48,86478.78,86519.01
2024-08-23 22:00:00-03:00,86519.01,86693.05,86499.39,86540.64
2024-08-23 22:30:00-03:00,86540.64,86573.06,86386.32,86386.32
2024-08-23 23:00:00-03:00,86386.32,86572.13,86386.32,86560.33
2024-08-23 23:30:00-03:00,86560.33,86595.19,86547.59,86547.59
2024-08-24 00:00:00-03:00,86547.59,86547.59,86426.24,86481.74
2024-08-24 00:30:00-03:00,86481.74,86483.63,86313.84,86331.05
2024-08-24 01:00:00-03:00,86331.05,86504.93,86329.59,86492.98
2024-08-24 01:30:00-03:00,86492.98,86524.37,86441.13,86524.37
2024-08-24 02:00:00-03:00,86524.37,86996.29,86514.32,86996.29
2024-08-24 02:30:00-03:00,86996.29,87188.04,86996.29,87164.91
2024-08-24 03:00:00-03:00,87164.91,87336.33,87146.2,87320.76
2024-08-24 03:30:00-03:00,87320.76,87418.04,87106.2,87196.41
2024-08-24 04:00:00-03:00,87196.41,87443.12,87196.41,87443.12
2024-08-24 04:30:00-03:00,87443.12,87855.61,87441.77,87855.61
2024-08-24 05:00:00-03:00,87855.61,87939.57,87781.47,87939.57
2024-08-24 05:30:00-03:00,87939.57,88377.89,87939.57,88377.89
2024-08-24 06:00:00-03:00,88377.89,88574.53,88377.89,88551.64
2024-08-24 06:30:00-03:00,88551.64,88752.66,88516.02,88752.66
2024-08-24 07:00:00-03:00,88752.66,88752.66,88576.23,88589.42
2024-08-24 07:30:00-03:00,88589.42,88624.84,87967.6,87967.6
2024-08-24 08:00:00-03:00,87967.6,88006.41,87890.85,87921.96
2024-08-24 08:30:00-03:00,87921.96,88018.17,87533.97,87533.97
