exchange,fundingRate,nextFundingTime,predictedFundingRate
Binance,0.005792,1726243200000.0,
OKX,0.00466694870466,1726243200000.0,
Bitmex,0.0015,1726286400000.0,0.0009
Bybit,0.01,1726243200000.0,
Deribit,0.000682,,
CoinEx,0.030072,1726243176950.0,0.030072
Kraken,0.0011259076388889,1726239600000.0,0.0074076333333336
HTX,0.01,,
